"#","Reference","Qty","Value","Footprint","DNP","Vendor","PartNum","Note"
"1","C1, C2","2","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","","","",""
"2","C3, C4","2","100n","Capacitor_SMD:C_0805_2012Metric","","","",""
"3","C5, C15","2","10n","Capacitor_SMD:C_0805_2012Metric","","","",""
"4","C6, C7, C10","3","33n","Capacitor_SMD:C_0805_2012Metric","","","",""
"5","C8, C16","2","470n","Capacitor_THT:C_Rect_L7.2mm_W5.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","","",""
"6","C9","1","1u","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","","","",""
"7","C11, C12","2","2.2n","Capacitor_SMD:C_0805_2012Metric","","","",""
"8","C13, C14","2","1n","Capacitor_SMD:C_0805_2012Metric","","","",""
"9","D1, D2","2","BAT54S","Package_TO_SOT_SMD:SOT-23","","Mouser","863-BAT54SLT1G",""
"10","D3, D4, D5, D6, D7, D8, D9","7","1N4148","Diode_SMD:D_SOD-323_HandSoldering","","","",""
"11","J1","1","Conn_02x05_Odd_Even","Eurorack:PinHeader_2x05_P2.54mm_Vertical","","Tayda","A-2939",""
"12","J2","1","GATE","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"13","J3","1","ACCENT_CV","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"14","J4","1","PITCH_CV","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"15","J5","1","SNAPPY_CV","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"16","J6","1","OUT","Eurorack:AudioJack2_Tayda_A-2566","","Tayda","A-2566",""
"17","Q1","1","BCM857","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM857DS135",""
"18","Q2, Q4","2","BCM847","Package_SO:TSOP-6_1.65x3.05mm_P0.95mm","","Mouser","771-BCM847DS135",""
"19","Q3","1","BC547","Package_TO_SOT_THT:TO-92_Inline_Wide","","","",""
"20","R1, R2","2","10","Resistor_SMD:R_0805_2012Metric","","","",""
"21","R3","1","39K","Resistor_SMD:R_0805_2012Metric","","","",""
"22","R4, R31","2","33K","Resistor_SMD:R_0805_2012Metric","","","",""
"23","R5, R6, R20, R21, R22, R26","6","100K","Resistor_SMD:R_0805_2012Metric","","","",""
"24","R7, R23, R27, R28, R29","5","22K","Resistor_SMD:R_0805_2012Metric","","","",""
"25","R8","1","120K","Resistor_SMD:R_0805_2012Metric","","","",""
"26","R9, R30, R33, R34, R35","5","10K","Resistor_SMD:R_0805_2012Metric","","","",""
"27","R10, R19, R32","3","1K","Resistor_SMD:R_0805_2012Metric","","","",""
"28","R11","1","910K","Resistor_SMD:R_0805_2012Metric","","","",""
"29","R12","1","330","Resistor_SMD:R_0805_2012Metric","","","",""
"30","R13","1","470","Resistor_SMD:R_0805_2012Metric","","","",""
"31","R14, R15, R17","3","47K","Resistor_SMD:R_0805_2012Metric","","","",""
"32","R16","1","470K","Resistor_SMD:R_0805_2012Metric","","","",""
"33","R18","1","27K","Resistor_SMD:R_0805_2012Metric","","","",""
"34","R24, R25","2","1M","Resistor_SMD:R_0805_2012Metric","","","",""
"35","RV1","1","B1K","Eurorack:Potentiometer_RV16AF-41-15R1","","","",""
"36","RV2, RV4","2","B100K","Eurorack:Potentiometer_RV16AF-41-15R1","","","",""
"37","RV3","1","B5K","Eurorack:Potentiometer_RV16AF-41-15R1","","","",""
"38","RV5","1","100K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical","","","",""
"39","U1","1","TL072","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","","Mouser","595-TL072CDR",""
"40","U2","1","TL074","Package_SO:SO-14_3.9x8.65mm_P1.27mm","","Mouser","595-TL074CDR",""
